数据结构,操作系统,高等数学,软件工程,数据库原理,计算机网络,C语言程序设计,计算机导论
65,87.0,60,76,71,83,62.0,60.0
73,90.0,76,80,80,78,72.0,62.0
58,65.0,79,71,69,62,70.0,52.0
60,65.0,66,69,61,73,77.0,68.0
62,64.0,72,73,71,67,69.0,64.0
60,69.0,60,72,55,74,48.0,70.0
73,71.0,85,79,79,80,86.0,64.0
52,61.0,68,68,58,81,44.0,64.0
56,68.0,62,73,55,74,78.0,60.0
64,61.0,73,72,69,70,73.0,70.0
69,76.0,0,80,59,80,50.0,66.0
94,91.0,85,80,86,87,80.0,71.0
60,82.0,67,72,73,74,46.0,62.0
64,88.0,57,79,65,78,64.0,67.0
84,73.0,71,83,91,89,82.0,73.0
83,94.0,89,61,83,88,85.0,61.0
84,85.0,68,82,78,91,60.0,80.0
81,89.0,84,84,79,89,92.0,75.0
69,89.0,60,83,88,85,78.0,72.0
81,74.0,74,72,78,86,79.0,76.0
76,68.0,80,76,55,84,65.0,71.0
66,84.0,60,70,68,82,79.0,68.0
74,87.0,61,71,70,83,65.0,61.0
85,79.0,71,80,92,88,75.0,70.0
62,84.0,77,81,60,93,85.0,60.0
43,60.0,51,55,62,82,65.0,60.0
78,87.0,85,71,92,86,92.0,63.0
76,72.0,62,70,60,79,72.0,70.0
79,86.0,36,71,78,86,83.0,73.0
78,90.0,61,82,80,92,69.0,63.0
66,66.0,47,68,63,69,66.0,72.0
83,89.0,66,76,79,90,64.0,67.0
80,76.0,48,77,73,84,72.0,71.0
90,85.0,77,80,91,91,80.0,83.0
69,89.0,65,75,83,91,67.0,65.0
66,68.0,49,71,66,79,52.0,48.0
73,72.0,64,70,73,78,87.0,65.0
76,70.0,52,78,71,81,69.0,67.0
66,66.0,54,67,76,84,72.0,61.0
78,85.0,62,73,83,88,64.0,62.0
87,86.0,81,78,73,86,76.0,76.0
74,96.0,69,63,91,91,68.0,72.0
68,86.0,79,73,79,86,86.0,70.0
74,70.0,63,74,78,81,83.0,65.0
75,71.0,51,74,64,81,69.0,60.0
69,79.0,61,78,80,83,66.0,60.0
64,61.0,73,83,75,84,63.0,68.0
64,63.0,47,70,60,78,80.0,50.0
57,61.0,47,74,75,73,83.0,66.0
64,61.0,70,72,61,87,90.0,60.0
80,94.0,77,80,90,91,78.0,70.0
79,83.0,60,69,84,88,66.0,61.0
89,91.0,84,68,82,89,71.0,73.0
86,77.0,62,76,71,88,71.0,70.0
83,92.0,68,81,93,90,80.0,68.0
85,87.0,73,77,84,91,68.0,76.0
55,91.0,60,71,80,82,61.0,61.0
89,93.0,61,75,82,92,73.0,74.0
77,89.0,49,77,71,82,72.0,80.0
84,78.0,70,78,92,85,62.0,84.0
40,46.0,45,84,62,63,63.0,68.0
45,52.0,66,84,73,90,83.0,63.0
40,51.0,70,79,63,67,75.0,68.0
62,66.0,22,67,60,60,75.0,61.0
49,80.0,71,79,77,85,91.0,75.0
73,89.0,61,72,76,79,87.0,78.0
69,90.0,66,82,76,86,86.0,78.0
65,84.0,73,86,72,81,84.0,74.0
79,75.0,76,78,78,90,89.0,82.0
76,81.0,98,79,83,96,93.0,77.0
79,91.0,60,84,80,90,91.0,76.0
90,89.0,94,80,89,94,96.0,80.0
75,73.0,75,60,75,97,93.0,75.0
84,90.0,90,83,76,87,92.0,82.0
84,84.0,91,86,76,91,83.0,88.0
61,56.0,45,73,64,80,80.0,73.0
75,62.0,67,81,60,76,78.0,68.0
68,72.0,61,74,71,68,87.0,77.0
32,38.0,60,83,61,67,86.0,65.0
76,79.0,66,61,62,62,81.0,62.0
63,74.0,60,73,77,81,87.0,69.0
67,79.0,88,87,79,88,85.0,79.0
46,67.0,87,61,68,81,85.0,70.0
69,82.0,77,88,79,87,87.0,83.0
76,80.0,86,86,80,85,89.0,83.0
66,84.0,61,79,82,78,89.0,74.0
79,75.0,94,82,76,95,91.0,82.0
81,88.0,91,86,85,89,92.0,79.0
62,75.0,60,79,84,86,87.0,76.0
61,81.0,36,74,68,88,76.0,66.0
82,75.0,72,88,76,78,89.0,81.0
67,81.0,33,68,83,67,82.0,79.0
82,90.0,100,91,89,92,88.0,80.0
62,46.0,60,64,55,61,89.0,69.0
73,67.0,74,70,73,80,86.0,69.0
83,77.0,75,67,72,78,80.0,68.0
83,85.0,89,83,79,85,93.0,82.0
